kingdom	phylum	class	order	family	genus	scientificname
Animalia	Chordata	Aves	Passeriformes	NULL	Certhiasomus	Certhiasomus stictolaemus
Animalia	Chordata	Aves	Passeriformes	Aegithinidae	Aegithina	Aegithina tiphia subsp. cambodiana
Animalia	Chordata	Aves	Passeriformes	Alaudidae	Calandrella	Calandrella cinerea subsp. saturatior
Animalia	Chordata	Aves	Passeriformes	Alaudidae	Galerida	Galerida cristata subsp. cypriaca
Animalia	Chordata	Aves	Passeriformes	Alaudidae	Mirafra	Megalophonus Gray, 1841
Animalia	Chordata	Aves	Passeriformes	Alaudidae	Mirafra	Mirafra apiata subsp. marjoriae
Animalia	Chordata	Aves	Passeriformes	Alaudidae	Mirafra	Mirafra gilletti subsp. arorihensis
Animalia	Chordata	Aves	Passeriformes	Alaudidae	Ramphocoris	Ramphocoris clotbey (Bonaparte, 1850)
Animalia	Chordata	Aves	Passeriformes	Artamidae	Artamus	Artamus cinereus Vieillot, 1817
Animalia	Chordata	Aves	Passeriformes	Artamidae	Artamus	Artamus insignis Sclater, 1877
Animalia	Chordata	Aves	Passeriformes	Campephagidae	Coracina	Coracina macei subsp. andamana
Animalia	Chordata	Aves	Passeriformes	Campephagidae	Coracina	Coracina papuensis subsp. louisiadensis
Animalia	Chordata	Aves	Passeriformes	Campephagidae	Coracina	Coracina temminckii subsp. tonkeana
Animalia	Chordata	Aves	Passeriformes	Campephagidae	Lalage	Lalage sueurii subsp. tricolor
Animalia	Chordata	Aves	Passeriformes	Campephagidae	Pericrocotus	Pericrocotus ethologus Bangs & Phillips, 1914
Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Pheucticus	Pheucticus ludovicianus (Linnaeus, 1766)
Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Saltator	Saltator maximus (Statius Muller, 1776)
Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Saltator	Saltator striatipectus flavidicollis P. L. Sclater, 1860
Animalia	Chordata	Aves	Passeriformes	Certhiidae	Polioptila	Polioptila guianensis subsp. paraensis
Animalia	Chordata	Aves	Passeriformes	Certhiidae	Ramphocaenus	Ramphocaenus Vieillot, 1819
Animalia	Chordata	Aves	Passeriformes	Cinclidae	Cinclus	Cinclus cinclus subsp. persicus
Animalia	Chordata	Aves	Passeriformes	Cisticolidae	Apalis	Apalis chirindensis subsp. chirindensis
Animalia	Chordata	Aves	Passeriformes	Cisticolidae	Apalis	Apalis thoracica subsp. uluguru
Animalia	Chordata	Aves	Passeriformes	Cisticolidae	Cisticola	Cisticola cantans subsp. muenzneri
Animalia	Chordata	Aves	Passeriformes	Cisticolidae	Cisticola	Cisticola lepe Lynes, 1930
Animalia	Chordata	Aves	Passeriformes	Cisticolidae	Incana	Incana incanus
Animalia	Chordata	Aves	Passeriformes	Cisticolidae	Malcorus	Malcorus pectoralis subsp. pectoralis
Animalia	Chordata	Aves	Passeriformes	Climacteridae	Climacteris	Climacteris picumnus subsp. picumnus
Animalia	Chordata	Aves	Passeriformes	Corvidae	Cissa	Cissa chinensis (Boddaert, 1783)
